username,ratings,text,email,phoneNumber
ihcebxlq,3,horrible satisfactory wonderful amazing amazing terrible poor wonderful terrible horrible satisfactory,ihcebxlq@gmail.com,+918127711345
agxvtsym,3,amazing excellent great poor average horrible terrible poor,agxvtsym@gmail.com,+917466283711
gjaknohk,2,poor wonderful horrible amazing amazing,gjaknohk@gmail.com,+919117068602
btjwgnmj,1,average excellent satisfactory excellent horrible great poor amazing terrible terrible terrible average,btjwgnmj@gmail.com,+916518618018
mqdemuog,3,great terrible horrible terrible great average amazing terrible poor excellent terrible terrible wonderful,mqdemuog@gmail.com,+916474423984
zbfasbfq,3,great amazing wonderful amazing poor average excellent wonderful average average,zbfasbfq@gmail.com,+918581762739
uwdhukvd,4,poor great horrible horrible wonderful poor horrible amazing,uwdhukvd@gmail.com,+917219798979
zspzxgle,1,horrible horrible horrible amazing excellent satisfactory,zspzxgle@gmail.com,+916839631515
tlkrezhm,3,poor average horrible average horrible satisfactory poor horrible poor excellent,tlkrezhm@gmail.com,+918852322363
vjwcznac,2,excellent poor average terrible wonderful amazing terrible satisfactory satisfactory excellent,vjwcznac@gmail.com,+917066511326
murubxif,5,wonderful horrible poor excellent horrible satisfactory satisfactory satisfactory satisfactory poor poor,murubxif@gmail.com,+919540873839
ddgszvtr,5,horrible terrible horrible satisfactory poor horrible poor amazing average excellent,ddgszvtr@gmail.com,+919040208435
uaukyfwu,1,terrible poor satisfactory poor amazing poor satisfactory great terrible amazing poor great great poor,uaukyfwu@gmail.com,+917260772933
vlcobzki,5,wonderful excellent wonderful excellent excellent excellent horrible poor poor,vlcobzki@gmail.com,+919221153887
bpsizkou,2,poor great average average wonderful great,bpsizkou@gmail.com,+919981936177
jekcouip,5,satisfactory wonderful satisfactory average terrible wonderful satisfactory great wonderful excellent excellent great,jekcouip@gmail.com,+916476615295
hzfolrmi,2,terrible poor horrible horrible excellent poor amazing excellent excellent satisfactory excellent terrible poor average terrible,hzfolrmi@gmail.com,+919368094332
